Name,Kauffman,Kauffman (vector),Symmetry Type
12a_73,(a^(-6)+ 2*a^(-4)+ a^(-2)+ 1)*z^(0)+ (-a^(-9)-3*a^(-7)+ 4*a^(-3)+ 2*a^(-1))*z^(1)+ (a^(-10)-a^(-8)-4*a^(-6)-5*a^(-4)-8*a^(-2)-4+ a^2)*z^(2)+ (6*a^(-9)+ 7*a^(-7)-10*a^(-5)-24*a^(-3)-9*a^(-1)+ 4*a)*z^(3)+ (-2*a^(-10)+ 6*a^(-8)+ 14*a^(-6)+ 10*a^(-4)+ 16*a^(-2)+ 10-2*a^2)*z^(4)+ (-9*a^(-9)-3*a^(-7)+ 34*a^(-5)+ 50*a^(-3)+ 14*a^(-1)-8*a)*z^(5)+ (a^(-10)-13*a^(-8)-16*a^(-6)+ a^(-4)-14*a^(-2)-16+ a^2)*z^(6)+ (4*a^(-9)-10*a^(-7)-39*a^(-5)-48*a^(-3)-19*a^(-1)+ 4*a)*z^(7)+ (7*a^(-8)-18*a^(-4)-3*a^(-2)+ 8)*z^(8)+ (8*a^(-7)+ 15*a^(-5)+ 17*a^(-3)+ 10*a^(-1))*z^(9)+ (6*a^(-6)+ 13*a^(-4)+ 7*a^(-2))*z^(10)+ (2*a^(-5)+ 2*a^(-3))*z^(11),[0; 11; [-6; 0; 1; 0; 2; 0; 1; 0; 1]; [-9; -1; -1; 0; -3; 0; 0; 0; 4; 0; 2]; [-10; 2; 1; 0; -1; 0; -4; 0; -5; 0; -8; 0; -4; 0; 1]; [-9; 1; 6; 0; 7; 0; -10; 0; -24; 0; -9; 0; 4]; [-10; 2; -2; 0; 6; 0; 14; 0; 10; 0; 16; 0; 10; 0; -2]; [-9; 1; -9; 0; -3; 0; 34; 0; 50; 0; 14; 0; -8]; [-10; 2; 1; 0; -13; 0; -16; 0; 1; 0; -14; 0; -16; 0; 1]; [-9; 1; 4; 0; -10; 0; -39; 0; -48; 0; -19; 0; 4]; [-8; 0; 7; 0; 0; 0; -18; 0; -3; 0; 8]; [-7; -1; 8; 0; 15; 0; 17; 0; 10]; [-6; -2; 6; 0; 13; 0; 7]; [-5; -3; 2; 0; 2]],chiral
12a_74,(3+ 6*a^2+ 6*a^4+ 2*a^6)*z^(0)+ (-a^(-1)-a-a^3-3*a^5-2*a^7)*z^(1)+ (a^(-2)-10-31*a^2-33*a^4-16*a^6-3*a^8)*z^(2)+ (4*a^(-1)+ 3*a+ a^3+ 6*a^5+ 8*a^7+ 4*a^9)*z^(3)+ (-2*a^(-2)+ 17+ 61*a^2+ 73*a^4+ 45*a^6+ 13*a^8-a^10)*z^(4)+ (-7*a^(-1)+ 4*a+ 27*a^3+ 21*a^5-3*a^7-8*a^9)*z^(5)+ (a^(-2)-18-54*a^2-67*a^4-53*a^6-20*a^8+ a^10)*z^(6)+ (4*a^(-1)-15*a-54*a^3-56*a^5-16*a^7+ 5*a^9)*z^(7)+ (9+ 12*a^2+ 4*a^4+ 12*a^6+ 11*a^8)*z^(8)+ (11*a+ 26*a^3+ 28*a^5+ 13*a^7)*z^(9)+ (7*a^2+ 15*a^4+ 8*a^6)*z^(10)+ (2*a^3+ 2*a^5)*z^(11),[0; 11; [0; 6; 3; 0; 6; 0; 6; 0; 2]; [-1; 7; -1; 0; -1; 0; -1; 0; -3; 0; -2]; [-2; 8; 1; 0; -10; 0; -31; 0; -33; 0; -16; 0; -3]; [-1; 9; 4; 0; 3; 0; 1; 0; 6; 0; 8; 0; 4]; [-2; 10; -2; 0; 17; 0; 61; 0; 73; 0; 45; 0; 13; 0; -1]; [-1; 9; -7; 0; 4; 0; 27; 0; 21; 0; -3; 0; -8]; [-2; 10; 1; 0; -18; 0; -54; 0; -67; 0; -53; 0; -20; 0; 1]; [-1; 9; 4; 0; -15; 0; -54; 0; -56; 0; -16; 0; 5]; [0; 8; 9; 0; 12; 0; 4; 0; 12; 0; 11]; [1; 7; 11; 0; 26; 0; 28; 0; 13]; [2; 6; 7; 0; 15; 0; 8]; [3; 5; 2; 0; 2]],reversible
12a_75,(2*a^(-10)+ 4*a^(-8)+ 4*a^(-6)+ 3*a^(-4))*z^(0)+ (a^(-13)-a^(-11)+ 2*a^(-9)+ 6*a^(-7)+ 2*a^(-5))*z^(1)+ (-a^(-12)-8*a^(-10)-15*a^(-8)-21*a^(-6)-11*a^(-4)+ 2*a^(-2))*z^(2)+ (3*a^(-13)+ a^(-11)-16*a^(-9)-32*a^(-7)-15*a^(-5)+ 3*a^(-3))*z^(3)+ (-a^(-14)+ 9*a^(-12)+ 19*a^(-10)+ 23*a^(-8)+ 32*a^(-6)+ 15*a^(-4)-3*a^(-2))*z^(4)+ (-9*a^(-13)+ 3*a^(-11)+ 44*a^(-9)+ 63*a^(-7)+ 24*a^(-5)-7*a^(-3))*z^(5)+ (a^(-14)-20*a^(-12)-23*a^(-10)+ a^(-8)-13*a^(-6)-15*a^(-4)+ a^(-2))*z^(6)+ (5*a^(-13)-18*a^(-11)-48*a^(-9)-48*a^(-7)-20*a^(-5)+ 3*a^(-3))*z^(7)+ (10*a^(-12)-21*a^(-8)-5*a^(-6)+ 6*a^(-4))*z^(8)+ (11*a^(-11)+ 17*a^(-9)+ 14*a^(-7)+ 8*a^(-5))*z^(9)+ (7*a^(-10)+ 13*a^(-8)+ 6*a^(-6))*z^(10)+ (2*a^(-9)+ 2*a^(-7))*z^(11),[0; 11; [-10; -4; 2; 0; 4; 0; 4; 0; 3]; [-13; -5; 1; 0; -1; 0; 2; 0; 6; 0; 2]; [-12; -2; -1; 0; -8; 0; -15; 0; -21; 0; -11; 0; 2]; [-13; -3; 3; 0; 1; 0; -16; 0; -32; 0; -15; 0; 3]; [-14; -2; -1; 0; 9; 0; 19; 0; 23; 0; 32; 0; 15; 0; -3]; [-13; -3; -9; 0; 3; 0; 44; 0; 63; 0; 24; 0; -7]; [-14; -2; 1; 0; -20; 0; -23; 0; 1; 0; -13; 0; -15; 0; 1]; [-13; -3; 5; 0; -18; 0; -48; 0; -48; 0; -20; 0; 3]; [-12; -4; 10; 0; 0; 0; -21; 0; -5; 0; 6]; [-11; -5; 11; 0; 17; 0; 14; 0; 8]; [-10; -6; 7; 0; 13; 0; 6]; [-9; -7; 2; 0; 2]],chiral
12a_76,(a^(-10)+ a^(-8)-a^(-2))*z^(0)+ (-a^(-11)+ 4*a^(-9)+ 6*a^(-7)-a^(-3))*z^(1)+ (-a^(-12)-a^(-10)-5*a^(-6)+ 4*a^(-2)-1)*z^(2)+ (-11*a^(-11)-31*a^(-9)-32*a^(-7)-a^(-5)+ 9*a^(-3)-2*a^(-1))*z^(3)+ (4*a^(-12)-6*a^(-10)-12*a^(-8)+ 12*a^(-6)+ 7*a^(-4)-6*a^(-2)+ 1)*z^(4)+ (27*a^(-11)+ 64*a^(-9)+ 58*a^(-7)+ 5*a^(-5)-13*a^(-3)+ 3*a^(-1))*z^(5)+ (-4*a^(-12)+ 24*a^(-10)+ 40*a^(-8)-10*a^(-6)-16*a^(-4)+ 6*a^(-2))*z^(6)+ (-19*a^(-11)-40*a^(-9)-46*a^(-7)-16*a^(-5)+ 9*a^(-3))*z^(7)+ (a^(-12)-21*a^(-10)-40*a^(-8)-8*a^(-6)+ 10*a^(-4))*z^(8)+ (4*a^(-11)+ 3*a^(-9)+ 8*a^(-7)+ 9*a^(-5))*z^(9)+ (5*a^(-10)+ 11*a^(-8)+ 6*a^(-6))*z^(10)+ (2*a^(-9)+ 2*a^(-7))*z^(11),[0; 11; [-10; -2; 1; 0; 1; 0; 0; 0; 0; 0; -1]; [-11; -3; -1; 0; 4; 0; 6; 0; 0; 0; -1]; [-12; 0; -1; 0; -1; 0; 0; 0; -5; 0; 0; 0; 4; 0; -1]; [-11; -1; -11; 0; -31; 0; -32; 0; -1; 0; 9; 0; -2]; [-12; 0; 4; 0; -6; 0; -12; 0; 12; 0; 7; 0; -6; 0; 1]; [-11; -1; 27; 0; 64; 0; 58; 0; 5; 0; -13; 0; 3]; [-12; -2; -4; 0; 24; 0; 40; 0; -10; 0; -16; 0; 6]; [-11; -3; -19; 0; -40; 0; -46; 0; -16; 0; 9]; [-12; -4; 1; 0; -21; 0; -40; 0; -8; 0; 10]; [-11; -5; 4; 0; 3; 0; 8; 0; 9]; [-10; -6; 5; 0; 11; 0; 6]; [-9; -7; 2; 0; 2]],chiral
12a_77,(2*a^(-2)+ 7+ 6*a^2+ 2*a^4)*z^(0)+ (-a^(-3)+ 2*a-a^5)*z^(1)+ (-4*a^(-4)-25*a^(-2)-44-30*a^2-6*a^4+ a^6)*z^(2)+ (4*a^(-5)+ 13*a^(-3)+ a^(-1)-12*a+ a^3+ 5*a^5)*z^(3)+ (-a^(-6)+ 13*a^(-4)+ 66*a^(-2)+ 95+ 57*a^2+ 12*a^4-2*a^6)*z^(4)+ (-9*a^(-5)-13*a^(-3)+ 25*a^(-1)+ 39*a+ 2*a^3-8*a^5)*z^(5)+ (a^(-6)-20*a^(-4)-68*a^(-2)-81-51*a^2-16*a^4+ a^6)*z^(6)+ (5*a^(-5)-9*a^(-3)-51*a^(-1)-53*a-12*a^3+ 4*a^5)*z^(7)+ (10*a^(-4)+ 19*a^(-2)+ 14+ 13*a^2+ 8*a^4)*z^(8)+ (10*a^(-3)+ 25*a^(-1)+ 24*a+ 9*a^3)*z^(9)+ (5*a^(-2)+ 10+ 5*a^2)*z^(10)+ (a^(-1)+ a)*z^(11),[0; 11; [-2; 4; 2; 0; 7; 0; 6; 0; 2]; [-3; 5; -1; 0; 0; 0; 2; 0; 0; 0; -1]; [-4; 6; -4; 0; -25; 0; -44; 0; -30; 0; -6; 0; 1]; [-5; 5; 4; 0; 13; 0; 1; 0; -12; 0; 1; 0; 5]; [-6; 6; -1; 0; 13; 0; 66; 0; 95; 0; 57; 0; 12; 0; -2]; [-5; 5; -9; 0; -13; 0; 25; 0; 39; 0; 2; 0; -8]; [-6; 6; 1; 0; -20; 0; -68; 0; -81; 0; -51; 0; -16; 0; 1]; [-5; 5; 5; 0; -9; 0; -51; 0; -53; 0; -12; 0; 4]; [-4; 4; 10; 0; 19; 0; 14; 0; 13; 0; 8]; [-3; 3; 10; 0; 25; 0; 24; 0; 9]; [-2; 2; 5; 0; 10; 0; 5]; [-1; 1; 1; 0; 1]],reversible
12a_78,(2*a^2+ 5*a^4-2*a^8)*z^(0)+ (-2*a-4*a^3-2*a^5+ 4*a^7+ 2*a^9-a^11+ a^13)*z^(1)+ (-7*a^2-16*a^4-a^6+ 5*a^8-a^10+ 2*a^12)*z^(2)+ (5*a+ 8*a^3-5*a^5-17*a^7-4*a^9+ 3*a^11-2*a^13)*z^(3)+ (13*a^2+ 26*a^4+ 5*a^6+ 3*a^10-5*a^12)*z^(4)+ (-4*a+ a^3+ 23*a^5+ 33*a^7+ 7*a^9-7*a^11+ a^13)*z^(5)+ (-11*a^2-19*a^4-2*a^8-7*a^10+ 3*a^12)*z^(6)+ (a-10*a^3-28*a^5-30*a^7-8*a^9+ 5*a^11)*z^(7)+ (3*a^2-a^4-12*a^6-2*a^8+ 6*a^10)*z^(8)+ (4*a^3+ 8*a^5+ 10*a^7+ 6*a^9)*z^(9)+ (3*a^4+ 7*a^6+ 4*a^8)*z^(10)+ (a^5+ a^7)*z^(11),[0; 11; [2; 8; 2; 0; 5; 0; 0; 0; -2]; [1; 13; -2; 0; -4; 0; -2; 0; 4; 0; 2; 0; -1; 0; 1]; [2; 12; -7; 0; -16; 0; -1; 0; 5; 0; -1; 0; 2]; [1; 13; 5; 0; 8; 0; -5; 0; -17; 0; -4; 0; 3; 0; -2]; [2; 12; 13; 0; 26; 0; 5; 0; 0; 0; 3; 0; -5]; [1; 13; -4; 0; 1; 0; 23; 0; 33; 0; 7; 0; -7; 0; 1]; [2; 12; -11; 0; -19; 0; 0; 0; -2; 0; -7; 0; 3]; [1; 11; 1; 0; -10; 0; -28; 0; -30; 0; -8; 0; 5]; [2; 10; 3; 0; -1; 0; -12; 0; -2; 0; 6]; [3; 9; 4; 0; 8; 0; 10; 0; 6]; [4; 8; 3; 0; 7; 0; 4]; [5; 7; 1; 0; 1]],reversible
12a_79,(a^(-6)+ 5*a^(-4)+ 7*a^(-2)+ 4)*z^(0)+ (-a^(-7)-2*a^(-5)+ a^(-3)+ a^(-1)-2*a-a^3)*z^(1)+ (-7*a^(-6)-30*a^(-4)-44*a^(-2)-25-2*a^2+ 2*a^4)*z^(2)+ (3*a^(-7)+ 5*a^(-5)-5*a^(-3)-3*a^(-1)+ 10*a+ 5*a^3-a^5)*z^(3)+ (15*a^(-6)+ 60*a^(-4)+ 89*a^(-2)+ 57+ 8*a^2-5*a^4)*z^(4)+ (-3*a^(-7)+ 5*a^(-5)+ 33*a^(-3)+ 27*a^(-1)-9*a-10*a^3+ a^5)*z^(5)+ (-13*a^(-6)-47*a^(-4)-72*a^(-2)-56-14*a^2+ 4*a^4)*z^(6)+ (a^(-7)-14*a^(-5)-50*a^(-3)-49*a^(-1)-6*a+ 8*a^3)*z^(7)+ (4*a^(-6)+ 6*a^(-4)+ 7*a^(-2)+ 16+ 11*a^2)*z^(8)+ (6*a^(-5)+ 18*a^(-3)+ 22*a^(-1)+ 10*a)*z^(9)+ (4*a^(-4)+ 9*a^(-2)+ 5)*z^(10)+ (a^(-3)+ a^(-1))*z^(11),[0; 11; [-6; 0; 1; 0; 5; 0; 7; 0; 4]; [-7; 3; -1; 0; -2; 0; 1; 0; 1; 0; -2; 0; -1]; [-6; 4; -7; 0; -30; 0; -44; 0; -25; 0; -2; 0; 2]; [-7; 5; 3; 0; 5; 0; -5; 0; -3; 0; 10; 0; 5; 0; -1]; [-6; 4; 15; 0; 60; 0; 89; 0; 57; 0; 8; 0; -5]; [-7; 5; -3; 0; 5; 0; 33; 0; 27; 0; -9; 0; -10; 0; 1]; [-6; 4; -13; 0; -47; 0; -72; 0; -56; 0; -14; 0; 4]; [-7; 3; 1; 0; -14; 0; -50; 0; -49; 0; -6; 0; 8]; [-6; 2; 4; 0; 6; 0; 7; 0; 16; 0; 11]; [-5; 1; 6; 0; 18; 0; 22; 0; 10]; [-4; 0; 4; 0; 9; 0; 5]; [-3; -1; 1; 0; 1]],reversible
12a_80,(2*a^(-6)+ 6*a^(-4)+ 7*a^(-2)+ 5+ a^2)*z^(0)+ (-2*a^(-7)-2*a^(-5)+ a^(-3)-2*a-a^3)*z^(1)+ (-7*a^(-6)-24*a^(-4)-36*a^(-2)-25-5*a^2+ a^4)*z^(2)+ (5*a^(-7)+ 4*a^(-5)-15*a^(-3)-16*a^(-1)+ 3*a+ 4*a^3-a^5)*z^(3)+ (13*a^(-6)+ 38*a^(-4)+ 58*a^(-2)+ 50+ 12*a^2-5*a^4)*z^(4)+ (-4*a^(-7)+ 3*a^(-5)+ 38*a^(-3)+ 48*a^(-1)+ 5*a-11*a^3+ a^5)*z^(5)+ (-11*a^(-6)-26*a^(-4)-32*a^(-2)-39-18*a^2+ 4*a^4)*z^(6)+ (a^(-7)-10*a^(-5)-38*a^(-3)-49*a^(-1)-14*a+ 8*a^3)*z^(7)+ (3*a^(-6)+ a^(-4)-6*a^(-2)+ 7+ 11*a^2)*z^(8)+ (4*a^(-5)+ 11*a^(-3)+ 17*a^(-1)+ 10*a)*z^(9)+ (3*a^(-4)+ 8*a^(-2)+ 5)*z^(10)+ (a^(-3)+ a^(-1))*z^(11),[0; 11; [-6; 2; 2; 0; 6; 0; 7; 0; 5; 0; 1]; [-7; 3; -2; 0; -2; 0; 1; 0; 0; 0; -2; 0; -1]; [-6; 4; -7; 0; -24; 0; -36; 0; -25; 0; -5; 0; 1]; [-7; 5; 5; 0; 4; 0; -15; 0; -16; 0; 3; 0; 4; 0; -1]; [-6; 4; 13; 0; 38; 0; 58; 0; 50; 0; 12; 0; -5]; [-7; 5; -4; 0; 3; 0; 38; 0; 48; 0; 5; 0; -11; 0; 1]; [-6; 4; -11; 0; -26; 0; -32; 0; -39; 0; -18; 0; 4]; [-7; 3; 1; 0; -10; 0; -38; 0; -49; 0; -14; 0; 8]; [-6; 2; 3; 0; 1; 0; -6; 0; 7; 0; 11]; [-5; 1; 4; 0; 11; 0; 17; 0; 10]; [-4; 0; 3; 0; 8; 0; 5]; [-3; -1; 1; 0; 1]],chiral
12a_81,(-a^(-8)-2*a^(-6)+ 2*a^(-2)+ 2)*z^(0)+ (a^(-9)-a^(-5)+ 3*a^(-3)+ 4*a^(-1)+ a)*z^(1)+ (3*a^(-8)+ 4*a^(-6)-5*a^(-4)-16*a^(-2)-14-4*a^2)*z^(2)+ (-2*a^(-9)+ 2*a^(-7)+ 9*a^(-5)-5*a^(-3)-16*a^(-1)-4*a+ 2*a^3)*z^(3)+ (-5*a^(-8)-a^(-6)+ 17*a^(-4)+ 30*a^(-2)+ 31+ 14*a^2)*z^(4)+ (a^(-9)-6*a^(-7)-11*a^(-5)+ 13*a^(-3)+ 36*a^(-1)+ 16*a-3*a^3)*z^(5)+ (3*a^(-8)-5*a^(-6)-21*a^(-4)-20*a^(-2)-21-14*a^2)*z^(6)+ (5*a^(-7)+ a^(-5)-22*a^(-3)-38*a^(-1)-19*a+ a^3)*z^(7)+ (6*a^(-6)+ 7*a^(-4)-6*a^(-2)-3+ 4*a^2)*z^(8)+ (5*a^(-5)+ 10*a^(-3)+ 11*a^(-1)+ 6*a)*z^(9)+ (3*a^(-4)+ 7*a^(-2)+ 4)*z^(10)+ (a^(-3)+ a^(-1))*z^(11),[0; 11; [-8; 0; -1; 0; -2; 0; 0; 0; 2; 0; 2]; [-9; 1; 1; 0; 0; 0; -1; 0; 3; 0; 4; 0; 1]; [-8; 2; 3; 0; 4; 0; -5; 0; -16; 0; -14; 0; -4]; [-9; 3; -2; 0; 2; 0; 9; 0; -5; 0; -16; 0; -4; 0; 2]; [-8; 2; -5; 0; -1; 0; 17; 0; 30; 0; 31; 0; 14]; [-9; 3; 1; 0; -6; 0; -11; 0; 13; 0; 36; 0; 16; 0; -3]; [-8; 2; 3; 0; -5; 0; -21; 0; -20; 0; -21; 0; -14]; [-7; 3; 5; 0; 1; 0; -22; 0; -38; 0; -19; 0; 1]; [-6; 2; 6; 0; 7; 0; -6; 0; -3; 0; 4]; [-5; 1; 5; 0; 10; 0; 11; 0; 6]; [-4; 0; 3; 0; 7; 0; 4]; [-3; -1; 1; 0; 1]],reversible
12a_82,(-a^(-14)-2*a^(-12)+ 2*a^(-10)+ 3*a^(-8)-a^(-6))*z^(0)+ (-a^(-17)-a^(-15)+ 3*a^(-13)-3*a^(-11)-6*a^(-9))*z^(1)+ (a^(-18)-a^(-16)-3*a^(-14)+ 6*a^(-12)-5*a^(-10)-9*a^(-8)+ 3*a^(-6))*z^(2)+ (6*a^(-17)+ 7*a^(-15)-8*a^(-13)+ 3*a^(-11)+ 15*a^(-9)+ 3*a^(-7))*z^(3)+ (-2*a^(-18)+ 8*a^(-16)+ 20*a^(-14)+ 6*a^(-12)+ 12*a^(-10)+ 13*a^(-8)-3*a^(-6))*z^(4)+ (-9*a^(-17)-6*a^(-15)+ 18*a^(-13)+ 10*a^(-11)-11*a^(-9)-6*a^(-7))*z^(5)+ (a^(-18)-14*a^(-16)-28*a^(-14)-17*a^(-12)-18*a^(-10)-13*a^(-8)+ a^(-6))*z^(6)+ (4*a^(-17)-7*a^(-15)-29*a^(-13)-25*a^(-11)-4*a^(-9)+ 3*a^(-7))*z^(7)+ (7*a^(-16)+ 8*a^(-14)+ 5*a^(-10)+ 6*a^(-8))*z^(8)+ (7*a^(-15)+ 15*a^(-13)+ 14*a^(-11)+ 6*a^(-9))*z^(9)+ (4*a^(-14)+ 8*a^(-12)+ 4*a^(-10))*z^(10)+ (a^(-13)+ a^(-11))*z^(11),[0; 11; [-14; -6; -1; 0; -2; 0; 2; 0; 3; 0; -1]; [-17; -9; -1; 0; -1; 0; 3; 0; -3; 0; -6]; [-18; -6; 1; 0; -1; 0; -3; 0; 6; 0; -5; 0; -9; 0; 3]; [-17; -7; 6; 0; 7; 0; -8; 0; 3; 0; 15; 0; 3]; [-18; -6; -2; 0; 8; 0; 20; 0; 6; 0; 12; 0; 13; 0; -3]; [-17; -7; -9; 0; -6; 0; 18; 0; 10; 0; -11; 0; -6]; [-18; -6; 1; 0; -14; 0; -28; 0; -17; 0; -18; 0; -13; 0; 1]; [-17; -7; 4; 0; -7; 0; -29; 0; -25; 0; -4; 0; 3]; [-16; -8; 7; 0; 8; 0; 0; 0; 5; 0; 6]; [-15; -9; 7; 0; 15; 0; 14; 0; 6]; [-14; -10; 4; 0; 8; 0; 4]; [-13; -11; 1; 0; 1]],reversible
12a_83,(a^(-12)+ 4*a^(-10)+ 4*a^(-8)+ 2*a^(-6)+ 2*a^(-4))*z^(0)+ (-2*a^(-13)-7*a^(-11)-2*a^(-9)+ 4*a^(-7)+ a^(-5))*z^(1)+ (a^(-14)-2*a^(-12)-17*a^(-10)-22*a^(-8)-16*a^(-6)-7*a^(-4)+ a^(-2))*z^(2)+ (7*a^(-13)+ 18*a^(-11)+ 3*a^(-9)-16*a^(-7)-4*a^(-5)+ 4*a^(-3))*z^(3)+ (-2*a^(-14)+ 7*a^(-12)+ 38*a^(-10)+ 52*a^(-8)+ 38*a^(-6)+ 13*a^(-4)-2*a^(-2))*z^(4)+ (-9*a^(-13)-15*a^(-11)+ 16*a^(-9)+ 38*a^(-7)+ 8*a^(-5)-8*a^(-3))*z^(5)+ (a^(-14)-13*a^(-12)-41*a^(-10)-46*a^(-8)-37*a^(-6)-17*a^(-4)+ a^(-2))*z^(6)+ (4*a^(-13)-4*a^(-11)-35*a^(-9)-46*a^(-7)-15*a^(-5)+ 4*a^(-3))*z^(7)+ (7*a^(-12)+ 12*a^(-10)+ 5*a^(-8)+ 8*a^(-6)+ 8*a^(-4))*z^(8)+ (7*a^(-11)+ 18*a^(-9)+ 20*a^(-7)+ 9*a^(-5))*z^(9)+ (4*a^(-10)+ 9*a^(-8)+ 5*a^(-6))*z^(10)+ (a^(-9)+ a^(-7))*z^(11),[0; 11; [-12; -4; 1; 0; 4; 0; 4; 0; 2; 0; 2]; [-13; -5; -2; 0; -7; 0; -2; 0; 4; 0; 1]; [-14; -2; 1; 0; -2; 0; -17; 0; -22; 0; -16; 0; -7; 0; 1]; [-13; -3; 7; 0; 18; 0; 3; 0; -16; 0; -4; 0; 4]; [-14; -2; -2; 0; 7; 0; 38; 0; 52; 0; 38; 0; 13; 0; -2]; [-13; -3; -9; 0; -15; 0; 16; 0; 38; 0; 8; 0; -8]; [-14; -2; 1; 0; -13; 0; -41; 0; -46; 0; -37; 0; -17; 0; 1]; [-13; -3; 4; 0; -4; 0; -35; 0; -46; 0; -15; 0; 4]; [-12; -4; 7; 0; 12; 0; 5; 0; 8; 0; 8]; [-11; -5; 7; 0; 18; 0; 20; 0; 9]; [-10; -6; 4; 0; 9; 0; 5]; [-9; -7; 1; 0; 1]],reversible
12a_84,(a^(-2)+ 4+ 5*a^2+ 5*a^4+ 2*a^6)*z^(0)+ (-a^(-3)-2*a^(-1)-a-a^3-4*a^5-3*a^7)*z^(1)+ (-6*a^(-2)-22-31*a^2-22*a^4-6*a^6+ a^8)*z^(2)+ (3*a^(-3)+ 4*a^(-1)-6*a-2*a^3+ 15*a^5+ 9*a^7-a^9)*z^(3)+ (14*a^(-2)+ 50+ 67*a^2+ 47*a^4+ 12*a^6-4*a^8)*z^(4)+ (-3*a^(-3)+ 7*a^(-1)+ 36*a+ 25*a^3-15*a^5-13*a^7+ a^9)*z^(5)+ (-13*a^(-2)-40-56*a^2-50*a^4-17*a^6+ 4*a^8)*z^(6)+ (a^(-3)-15*a^(-1)-49*a-46*a^3-4*a^5+ 9*a^7)*z^(7)+ (4*a^(-2)+ 4+ 3*a^2+ 15*a^4+ 12*a^6)*z^(8)+ (6*a^(-1)+ 17*a+ 21*a^3+ 10*a^5)*z^(9)+ (4+ 9*a^2+ 5*a^4)*z^(10)+ (a+ a^3)*z^(11),[0; 11; [-2; 6; 1; 0; 4; 0; 5; 0; 5; 0; 2]; [-3; 7; -1; 0; -2; 0; -1; 0; -1; 0; -4; 0; -3]; [-2; 8; -6; 0; -22; 0; -31; 0; -22; 0; -6; 0; 1]; [-3; 9; 3; 0; 4; 0; -6; 0; -2; 0; 15; 0; 9; 0; -1]; [-2; 8; 14; 0; 50; 0; 67; 0; 47; 0; 12; 0; -4]; [-3; 9; -3; 0; 7; 0; 36; 0; 25; 0; -15; 0; -13; 0; 1]; [-2; 8; -13; 0; -40; 0; -56; 0; -50; 0; -17; 0; 4]; [-3; 7; 1; 0; -15; 0; -49; 0; -46; 0; -4; 0; 9]; [-2; 6; 4; 0; 4; 0; 3; 0; 15; 0; 12]; [-1; 5; 6; 0; 17; 0; 21; 0; 10]; [0; 4; 4; 0; 9; 0; 5]; [1; 3; 1; 0; 1]],reversible
12a_85,(a^2+ a^4-5*a^6-4*a^8)*z^(0)+ (-a+ 5*a^5+ 8*a^7-a^9-4*a^11+ a^13)*z^(1)+ (-6*a^2-10*a^4+ 14*a^6+ 16*a^8-a^10+ a^12)*z^(2)+ (4*a-a^3-26*a^5-27*a^7+ 4*a^9+ 8*a^11-2*a^13)*z^(3)+ (14*a^2+ 20*a^4-19*a^6-17*a^8+ 4*a^10-4*a^12)*z^(4)+ (-4*a+ 10*a^3+ 42*a^5+ 37*a^7-2*a^9-10*a^11+ a^13)*z^(5)+ (-12*a^2-11*a^4+ 19*a^6+ 6*a^8-9*a^10+ 3*a^12)*z^(6)+ (a-13*a^3-31*a^5-28*a^7-5*a^9+ 6*a^11)*z^(7)+ (3*a^2-4*a^4-17*a^6-3*a^8+ 7*a^10)*z^(8)+ (4*a^3+ 7*a^5+ 9*a^7+ 6*a^9)*z^(9)+ (3*a^4+ 7*a^6+ 4*a^8)*z^(10)+ (a^5+ a^7)*z^(11),[0; 11; [2; 8; 1; 0; 1; 0; -5; 0; -4]; [1; 13; -1; 0; 0; 0; 5; 0; 8; 0; -1; 0; -4; 0; 1]; [2; 12; -6; 0; -10; 0; 14; 0; 16; 0; -1; 0; 1]; [1; 13; 4; 0; -1; 0; -26; 0; -27; 0; 4; 0; 8; 0; -2]; [2; 12; 14; 0; 20; 0; -19; 0; -17; 0; 4; 0; -4]; [1; 13; -4; 0; 10; 0; 42; 0; 37; 0; -2; 0; -10; 0; 1]; [2; 12; -12; 0; -11; 0; 19; 0; 6; 0; -9; 0; 3]; [1; 11; 1; 0; -13; 0; -31; 0; -28; 0; -5; 0; 6]; [2; 10; 3; 0; -4; 0; -17; 0; -3; 0; 7]; [3; 9; 4; 0; 7; 0; 9; 0; 6]; [4; 8; 3; 0; 7; 0; 4]; [5; 7; 1; 0; 1]],reversible
