Name,Kauffman,Kauffman (vector),Symmetry Type
7_4,(-a^(-8)+ 2*a^(-4))*z^(0)+ (4*a^(-9)+ 4*a^(-7))*z^(1)+ (2*a^(-8)-3*a^(-6)-4*a^(-4)+ a^(-2))*z^(2)+ (-4*a^(-9)-8*a^(-7)-2*a^(-5)+ 2*a^(-3))*z^(3)+ (-3*a^(-8)+ 3*a^(-4))*z^(4)+ (a^(-9)+ 3*a^(-7)+ 2*a^(-5))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -4; -1; 0; 0; 0; 2]; [-9; -7; 4; 0; 4]; [-8; -2; 2; 0; -3; 0; -4; 0; 1]; [-9; -3; -4; 0; -8; 0; -2; 0; 2]; [-8; -4; -3; 0; 0; 0; 3]; [-9; -5; 1; 0; 3; 0; 2]; [-8; -6; 1; 0; 1]],reversible
7_5,(-a^(-8)+ 2*a^(-4))*z^(0)+ (-a^(-11)+ a^(-9)+ a^(-7)-a^(-5))*z^(1)+ (-2*a^(-10)+ a^(-8)-3*a^(-4))*z^(2)+ (a^(-11)-2*a^(-9)-4*a^(-7)-a^(-5))*z^(3)+ (2*a^(-10)-a^(-6)+ a^(-4))*z^(4)+ (2*a^(-9)+ 3*a^(-7)+ a^(-5))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -4; -1; 0; 0; 0; 2]; [-11; -5; -1; 0; 1; 0; 1; 0; -1]; [-10; -4; -2; 0; 1; 0; 0; 0; -3]; [-11; -5; 1; 0; -2; 0; -4; 0; -1]; [-10; -4; 2; 0; 0; 0; -1; 0; 1]; [-9; -5; 2; 0; 3; 0; 1]; [-8; -6; 1; 0; 1]],reversible
7_6,(a^(-6)+ 2*a^(-4)+ a^(-2)+ 1)*z^(0)+ (-a^(-7)+ 2*a^(-3)+ a^(-1))*z^(1)+ (-2*a^(-6)-4*a^(-4)-4*a^(-2)-2)*z^(2)+ (a^(-7)-a^(-5)-6*a^(-3)-4*a^(-1))*z^(3)+ (2*a^(-6)+ 2*a^(-4)+ a^(-2)+ 1)*z^(4)+ (2*a^(-5)+ 4*a^(-3)+ 2*a^(-1))*z^(5)+ (a^(-4)+ a^(-2))*z^(6),[0; 6; [-6; 0; 1; 0; 2; 0; 1; 0; 1]; [-7; -1; -1; 0; 0; 0; 2; 0; 1]; [-6; 0; -2; 0; -4; 0; -4; 0; -2]; [-7; -1; 1; 0; -1; 0; -6; 0; -4]; [-6; 0; 2; 0; 2; 0; 1; 0; 1]; [-5; -1; 2; 0; 4; 0; 2]; [-4; -2; 1; 0; 1]],reversible
7_7,(2+ 2*a^2+ a^4)*z^(0)+ (a^(-1)+ 3*a+ 2*a^3)*z^(1)+ (-3*a^(-2)-7-6*a^2-2*a^4)*z^(2)+ (a^(-3)-3*a^(-1)-8*a-4*a^3)*z^(3)+ (3*a^(-2)+ 4+ 2*a^2+ a^4)*z^(4)+ (3*a^(-1)+ 5*a+ 2*a^3)*z^(5)+ (1+ a^2)*z^(6),[0; 6; [0; 4; 2; 0; 2; 0; 1]; [-1; 3; 1; 0; 3; 0; 2]; [-2; 4; -3; 0; -7; 0; -6; 0; -2]; [-3; 3; 1; 0; -3; 0; -8; 0; -4]; [-2; 4; 3; 0; 4; 0; 2; 0; 1]; [-1; 3; 3; 0; 5; 0; 2]; [0; 2; 1; 0; 1]],reversible
8_1,(-a^(-6)-a^(-4)-a^2)*z^(0)+ (-3*a^(-5)-3*a^(-3))*z^(1)+ (6*a^(-6)+ 7*a^(-4)+ a^2)*z^(2)+ (7*a^(-5)+ 5*a^(-3)-a^(-1)+ a)*z^(3)+ (-5*a^(-6)-8*a^(-4)-2*a^(-2)+ 1)*z^(4)+ (-5*a^(-5)-4*a^(-3)+ a^(-1))*z^(5)+ (a^(-6)+ 2*a^(-4)+ a^(-2))*z^(6)+ (a^(-5)+ a^(-3))*z^(7),[0; 7; [-6; 2; -1; 0; -1; 0; 0; 0; 0; 0; -1]; [-5; -3; -3; 0; -3]; [-6; 2; 6; 0; 7; 0; 0; 0; 0; 0; 1]; [-5; 1; 7; 0; 5; 0; -1; 0; 1]; [-6; 0; -5; 0; -8; 0; -2; 0; 1]; [-5; -1; -5; 0; -4; 0; 1]; [-6; -2; 1; 0; 2; 0; 1]; [-5; -3; 1; 0; 1]],reversible
8_2,(-a^(-6)-3*a^(-4)-3*a^(-2))*z^(0)+ (-a^(-9)-a^(-7)+ a^(-5)+ a^(-3))*z^(1)+ (a^(-10)-a^(-8)+ 3*a^(-6)+ 12*a^(-4)+ 7*a^(-2))*z^(2)+ (2*a^(-9)-2*a^(-7)-a^(-5)+ 3*a^(-3))*z^(3)+ (2*a^(-8)-5*a^(-6)-12*a^(-4)-5*a^(-2))*z^(4)+ (2*a^(-7)-2*a^(-5)-4*a^(-3))*z^(5)+ (2*a^(-6)+ 3*a^(-4)+ a^(-2))*z^(6)+ (a^(-5)+ a^(-3))*z^(7),[0; 7; [-6; -2; -1; 0; -3; 0; -3]; [-9; -3; -1; 0; -1; 0; 1; 0; 1]; [-10; -2; 1; 0; -1; 0; 3; 0; 12; 0; 7]; [-9; -3; 2; 0; -2; 0; -1; 0; 3]; [-8; -2; 2; 0; -5; 0; -12; 0; -5]; [-7; -3; 2; 0; -2; 0; -4]; [-6; -2; 2; 0; 3; 0; 1]; [-5; -3; 1; 0; 1]],reversible
8_3,(a^(-4)-1+ a^4)*z^(0)+ (-4*a^(-1)-4*a)*z^(1)+ (-3*a^(-4)+ a^(-2)+ 8+ a^2-3*a^4)*z^(2)+ (-2*a^(-3)+ 8*a^(-1)+ 8*a-2*a^3)*z^(3)+ (a^(-4)-2*a^(-2)-6-2*a^2+ a^4)*z^(4)+ (a^(-3)-4*a^(-1)-4*a+ a^3)*z^(5)+ (a^(-2)+ 2+ a^2)*z^(6)+ (a^(-1)+ a)*z^(7),[0; 7; [-4; 4; 1; 0; 0; 0; -1; 0; 0; 0; 1]; [-1; 1; -4; 0; -4]; [-4; 4; -3; 0; 1; 0; 8; 0; 1; 0; -3]; [-3; 3; -2; 0; 8; 0; 8; 0; -2]; [-4; 4; 1; 0; -2; 0; -6; 0; -2; 0; 1]; [-3; 3; 1; 0; -4; 0; -4; 0; 1]; [-2; 2; 1; 0; 2; 0; 1]; [-1; 1; 1; 0; 1]],fully amphicheiral
8_4,(-2*a^(-2)-2+ a^4) + (-a^(-1)+ a+ 2*a^3)*z^1 + (7*a^(-2)+ 10-a^2-3*a^4+ a^6)*z^2 + (4*a^(-1)-3*a-5*a^3+ 2*a^5)*z^3 + (-5*a^(-2)-11-3*a^2+ 3*a^4)*z^4 + (-4*a^(-1)-a+ 3*a^3)*z^5 + (a^(-2)+ 3+ 2*a^2)*z^6 + (a^(-1)+ a)*z^7,[0; 7; [-2; 4; -2; 0; -2; 0; 0; 0; 1]; [-1; 3; -1; 0; 1; 0; 2]; [-2; 6; 7; 0; 10; 0; -1; 0; -3; 0; 1]; [-1; 5; 4; 0; -3; 0; -5; 0; 2]; [-2; 4; -5; 0; -11; 0; -3; 0; 3]; [-1; 3; -4; 0; -1; 0; 3]; [-2; 2; 1; 0; 3; 0; 2]; [-1; 1; 1; 0; 1]],reversible
8_5,(-2*a^(-6)-5*a^(-4)-4*a^(-2))*z^(0)+ (4*a^(-7)+ 7*a^(-5)+ 3*a^(-3))*z^(1)+ (a^(-10)-2*a^(-8)+ 4*a^(-6)+ 15*a^(-4)+ 8*a^(-2))*z^(2)+ (2*a^(-9)-8*a^(-7)-10*a^(-5))*z^(3)+ (3*a^(-8)-7*a^(-6)-15*a^(-4)-5*a^(-2))*z^(4)+ (4*a^(-7)+ a^(-5)-3*a^(-3))*z^(5)+ (3*a^(-6)+ 4*a^(-4)+ a^(-2))*z^(6)+ (a^(-5)+ a^(-3))*z^(7),[0; 7; [-6; -2; -2; 0; -5; 0; -4]; [-7; -3; 4; 0; 7; 0; 3]; [-10; -2; 1; 0; -2; 0; 4; 0; 15; 0; 8]; [-9; -5; 2; 0; -8; 0; -10]; [-8; -2; 3; 0; -7; 0; -15; 0; -5]; [-7; -3; 4; 0; 1; 0; -3]; [-6; -2; 3; 0; 4; 0; 1]; [-5; -3; 1; 0; 1]],reversible
8_6,(-a^(-6)-a^(-4)+ a^(-2)+ 2)*z^(0)+ (a^(-7)-a^(-5)-3*a^(-3)-a^(-1))*z^(1)+ (-2*a^(-8)+ 3*a^(-6)+ 6*a^(-4)-2*a^(-2)-3)*z^(2)+ (-4*a^(-7)+ 2*a^(-5)+ 5*a^(-3)-a^(-1))*z^(3)+ (a^(-8)-4*a^(-6)-6*a^(-4)+ 1)*z^(4)+ (2*a^(-7)-a^(-5)-2*a^(-3)+ a^(-1))*z^(5)+ (2*a^(-6)+ 3*a^(-4)+ a^(-2))*z^(6)+ (a^(-5)+ a^(-3))*z^(7),[0; 7; [-6; 0; -1; 0; -1; 0; 1; 0; 2]; [-7; -1; 1; 0; -1; 0; -3; 0; -1]; [-8; 0; -2; 0; 3; 0; 6; 0; -2; 0; -3]; [-7; -1; -4; 0; 2; 0; 5; 0; -1]; [-8; 0; 1; 0; -4; 0; -6; 0; 0; 0; 1]; [-7; -1; 2; 0; -1; 0; -2; 0; 1]; [-6; -2; 2; 0; 3; 0; 1]; [-5; -3; 1; 0; 1]],reversible
